ulasan bersih,sentimen
livinby mandiri nggak bisa masuk iya,netral
sangat cocok,positif
aplikasi susah buka pas buka susah proses verifikasi wajah,netral
good livin mandiri,netral
gampang transfer uang,netral
puas lancar,positif
hitung hitung biaya mandiri k lebih baik si biru k,positif
saldo kurang mlm tidak bisa transfer,negatif
livin malam ganggu sungguh tidak nyaman livin pas darurat tidak bisa andal tranfer gagal top gagal tarik tunai gagal kacau parah livin,negatif
coba sertifikasi nomor hepon hihang proses bos pergatian nomor telpon,netral
maintenance,netral
alhamdulilah,netral
susah banget transfer ganggu bapuk banget ber kayak gin saldo tinggal cukup edit transfer tidak bisa pakai transaksi tidak bisa,negatif
,netral
layan call center lot banget ngabisin pulsaa cuman buka blokir tunggu staff lamadan berkalikali habis pulsaatidak hubung hubung,netral
tampil detail tnggal jam transfer masuk plnggan mudah proses kece langgan transfer ulang nominal mudah dagang melayanin konsmen olshop,netral
aplikasi perban tidak fitur adu transaksi tidak masuk susah bikin adu sampah,negatif
sangat mudah transaksi bank top e wallet,positif
amazing,netral
buka langsung muncul login skng tidak pilih login pilih rekening kartu kredit,netral
aman baik,positif
muas,netral
aplikasi lot bisa buka langsung ngelag aplikasi lgsung henti nggak bisa,netral
sangat puas,positif
berkat aplikasi bisa dn ecek isi saldotanpa antri knpa upload ulang yaa,netral
good,netral
transfer gampang,netral
sulit daftar obligasi,netral
best,netral
gmna tutup rekening livin mandiri males baru buka rekening isi saldo banget potong bikin rugi tolong tutup rekening livin,netral
macet aplikasi tidak bisa sentuh paswordnya,negatif
ecek sila coba,netral
aplikasi livin mandiri baru tidak fungsi baik bisa terinstal bisa buka aplikasi,positif
ne livinby mandiri masuk data tidak bisa login tidak bisa saldo rekening lumayan,negatif
sangat bantu,netral
males gua pake mandiri pas download aplikasi blokir sndri system atm blokir pas nelfon cs suruh ganti kartu beda sma bank repot make mandiri salah tidak ckup x skrng pindah bca aksesny cepatt tidak loading tidak pernh blokir,netral
mantap,positif
kaga bisa update,netral
tidak bisa aktivasi livin hp hp baru mohon bantu minta tidak proses,negatif
bisa msuk wktu dklik,netral
lot bangetsmakin gag mutu,netral
kasih soalny udah isi data selfi gagal tidak verifikasi,negatif
knpa loding gitu download ulang,netral
payah nih aplikasi banget ganggu,netral
sempet daftar ulang kartu tel mesin aplikasi gajelas susah transaksi bisa tunggu jam gilir notif potong saldo ontime motong k sama transaksi ribet pelihara gamau pke,netral
tolong jelas livin tunggu gabisabisa daftar livin mandiri gmn solusi cs bisa daftar april bisa,netral
tidak ribet sih,netral
best,netral
gimana login tidak kartu debitkredit,netral
good job,netral
iklan parah,negatif
livin tidak bisa buka login baru update aplikasi tolong livin transfer jd hambat,negatif
harap bisa jaga nyaman guna livin,netral
baru kali coba tranfer livin mandiri bri langsung gagal tulis nomor rekening tidak temu nomor tuju,negatif
sangat manfaat,netral
ambil uang atm selalu biaya adminkartu debitbiaya lainnyapadahal pakai silverkatanya rb bulan rb perbulanbagaimana sihtidak konsisten,netral
ribet banget menu aplikasi semenjak diupdate tolong baca dana lebih transfer tabung dana kumpul lebih bagi tabung rencana hapus gabisa transfer dana lebih rek tabung rencana oon bgtt sih bikin tulis kayak gitu sistem tidak bisa ituu gimana,negatif
sangat bantu,netral
tidak suport redmi pro gy,netral
aplikasi livin tidak bisa buka suruh daftar ulang,negatif
livin eror bisa,netral
jelek ribet verifikasi wajah gagal,negatif
hp tidak bisa pakeslalu tulis app tidak bisa jalan ponsel andasilahkan sistem operasi resmi tablet tidak bisa instalmalah tidak playstore fix livin,negatif
susah update ganggu gimana,netral
akun gabisa login suruh hubung custumer service bank gaperlu susah izin kerja tolong kerja sama terima kasih,netral
muas,netral
gimana sih admin dah instaltapi tidak bisa masukterpaksa hapusalasannya android tidak dukung udah uninstall insta tetep tidak masuk bikin aplikasi nyusahin langgan napa gilir tagih cc tidak bayar telpon mulu,negatif
jam sampe jam maintenance teruss jelek skalih pakai livin,negatif
oke,netral
aplikasi tidak bisa login tgl maret udah x uninstall ulang tetep tidak bisa masuk force close tulis layar pas coba masuk livin livin mandiri henti gimana transaksi susah,negatif
best,netral
gimana sih ngelakuin transaksi tidak bisa parah mandiri jam jam tidak bisa gara gara kerja pajak pagi butuh transaksi tidak bisa balas komen maaf maaf teruss baik sistem nyaa,negatif
livinnya perbaikisaat verifikasimalah baru sistembegitu kapak baik biar nasabah aman nyaman,positif
top,positif
aplikasi buruk sumpah aju kendala login livin mandiri udah minggu tidak dibales,negatif
awat rutin tidak,netral
ferivikasi wajah tidak hasil,netral
aplikasi jelek logout masuk nomor kartu atm berat aplikasi,negatif
oke mandiri,netral
aplikasi aman percaya,netral
masuk mandiri lebih maju iring kembang jaman nasabah mudah hubung admin selesai mandiri lebih praktis bisa hubung operator via wa pake pulsa sangat rugi nasabah biaya mahal telp operator pulsa habis selesai mohon direktur mandiri timbang,netral
bagus,positif
keren,netral
selamat lupa paasword ngak bisa buka gimana,netral
realme sistem operasi android original tidak dukung livin,netral
heran livin log ganti device akun blokir,netral
oke,netral
knpa ni livin,netral
tidak fasilitas buka blokir kartu atm,netral
livin baik butuh jalan lancar,positif
sih masukin kode otp nomor hp bawa layan tidak sedia lihat mbanking mandiri ibu baik baik bisa login tidak banget,positif
sangat bagus,positif
force closebagaimana atas,netral
okey,netral
moga depan bank mandiri mudah komunikasi staf call center chatt buat lapor aplikasi livin mandiri bank bca bri milik fitur fitur bantu nasabah alami perban kartu kredit rugi nasabah isi pulsa telepon hubung call center bank mandiri tolong start aplikasi livin jgn loading thanks,netral
kembali akun,netral
kendala cs slow respon tidak solusi beda bank belah,netral
yah gimana ni msuk aplikasi dsruh ubah sandi pas vertifikasi wajah slalu vertifikasi hasil sminggu loh wajah kamera jernih ttp gbsa masuk cht ig nge email tanggap,netral
bagus banget,positif
mantap,positif
okelahh,netral
daftar kartu gabisa masuk,netral
livin mandiri gabisa buka gagal hubung sinyal wifi baguspake internet gabisa buka mohon baik livin mandiri,netral
tidak bisa buka aplikasi livin aplikasi,negatif
sangat bagus informasi saldo,positif
verifikasi wajah suda tidak hasil trusparah,negatif
kali verifikasi wajah gagal sampe coba tolong baik lebih mudah,netral
mabtap sangat bantu,netral
verifikasi gagal,negatif
yaa buka rekening baru pas verifikasi muka selfie gagal,negatif
bagus,positif
susah buka loading internet lancar,positif
kartu kirim tidak bisa login aplikasi livin mandiri tampa kartu hp tepormat data hilang,negatif
bagus,positif
mantap,positif
masuk angin aplikasi kelen malam tidak bisa kedok periksa rutineh hsncor usaha org kalok kayak gin aplikasi,negatif
kesini asli parahh transaksi gagal coba menit bukti bikin emosi tidak bisa andelin mbangking transfer gagal,negatif
jelek,negatif
sumpah livin rugi kaparluan dadak teng malam jam nggak bisa ngapangapain transfer susah,netral
sangat bagus,positif
banyak pelihara malam sih bank tidak kaya gin ganggu banget,netral
top data transfer mepet susah kalu jam malam ampe jam kalu urgent,positif
layan buruk jam malem tidak bisa transaksi bnget buruk mbangking living ning udah eror pake livin kaya gin bnget cape lebih baik gw pake bca aplikasi tidak bnget bnyak mt picturnya tidak tarik aplikasi mbangking pling buruk pernh gw pke kabnykan kendala jam tidak bisa transaksi hapus aplikasi,negatif
tolong gimana topup shopeepay rb dana udah potong saldo shopeepay tidak masuk bukti terang transaksi tidak hasil saldo livin potong,netral
coba baik ribet sih pakenya bikin password gagal gimna sih udah aneh aneh bikin tetep susah anek apknya,netral
saat butuh mantance,netral
ganggu,netral
stiap jam sgini knapa si tidak bisa transaksi,negatif
sangat muas,netral
baru tidak ngelag sendri,netral
bagus aplikasi mudah cair saldo,positif
heran mandiri iya atas jam malam sampe jam pagi tidak bisa transaksi,negatif
bagus,positif
aplikasi pagi ngak bisa buka logout,netral
maintenance jam jam orang butuh transaksi saran bisa jam samapai jam jam orang maka,netral
burik dikit dikit pelihara aplikasi rusak,netral
ganggu,netral
aplikasi payah verifikasi wajah sulit ampun sesuai tunjuk lambat kerja tolong baik,netral
aplikasi sampah eror bikin emosi enak enak login otomatis eh suruh input data ulang input jadingak bsa login aplikasi bangke,negatif
login pakai kartu debit pake kode otp bisa ribet gin tidak orang hafal nomor kartu debit,netral
hallo min gabisa login mbanking tidak menu login tidak kartu mbangking gimana login,netral
cek resi tidak detail tidak,netral
asem nih menu login tidak menu rek kartu login rek online tidak kartu tidak bisa login donk kalu tidak menu buka rek online orang jebak tidak login,negatif
blokir,netral
tolong kasih tau min udah livin tidak bisa akses stelah jam afa kendala tidak kek gin,negatif
tingkat kn layan kastamer,netral
coba bikin fitur thr biar lebih fitur bisa guna,netral
sangat manfaat,netral
aplikasi buka tidak bsa,netral
dak bisa log laporoun dak bisa atas payah,netral
aplikasi mudah transaksi dmn,netral
tidak bisa login,negatif
,netral
sangat bantu proses menabungdan baik,positif
cipta bank bas online terap ribet janji kirim kartu tidak aplikasi tidak nisa buka suruh cabang tidak laku rekam wajah cipta online mudah nasabah lebih baik hapus aplikasi tidak bisa layan lebih modern plexible semi online jaman online jadul,netral
coba login gagal gara gara pelihara sistem coba login tidak pelihara sistem loh tidak bisa akses akun mandiri,negatif
tidak paylater,netral
sangat baik,positif
suka dg livin lancar urus,positif
lebih mudah gampang aman,netral
top,positif
sangat bermamfaat,netral
gampang,netral
jadi lebih mudah,netral
bingung atur notifikasi dana masuk dana tidak muncul notifikasi,netral
mantap sangat bantu,positif
daftar susah pas ambil foto tidak bisa,negatif
bagus mundah transaksi,positif
tidak bisa login ka tulis fitur tidak sedia,negatif
aplikasi tidak jelasmasa semalem sore transfer top tidak bisa lebih parah lagiakun mandiri tidak akseshasilnya duit nyangkutaplikasi sangat sial,negatif
update mulu kali kali aplikasi lelet,netral
oke si,netral
tidak bisa buka,negatif
mntap,netral
payah livin mandiri verifikasi wajah gagal payah gagal bos,negatif
aplikasi error,negatif
mudah transaksi terjagkau,netral
livin bug susah login,netral
aman,netral
mudah nasabah,netral
top tidak hasil saldo kurang skrng saldo min tolong gmna saldo,positif
tolong buka aplikasi livin sy kartu,netral
sangat bantu,netral
tidak pinjam digital akun,netral
kecewa aplikasi susah nyala pakai mandiri,negatif
puas,positif
login susah anjeng,netral
tidak nomor kartu email gmna tolong ka kirimin gmna tidak bisa login karna tidak digit nyah,negatif
sangat bantu,netral
oke,netral
aplikasitai sangat susah registrasi terang data tidak sesuai ulang jam data sesuai semuaitai,negatif
loding mulu aplikasi gajelas,netral
aplikasi tidak bayar multipayment kaga bisa bisa,netral
ribet aplikasi kaua masuk pakai kartu debit smntra cetak kartu,netral
tc tulis smartphone sesuai tentu mandiri tidak cantum kayak gimana speknya hp keluar udah tidak support edyan bisa make banyak fitur tidak sih,netral
top shopeepay gagal saldo tetep kurang,netral
isi saldo nggak nambah,netral
saldo dana kurang tranfer gagal tidak respon aplikasi gidak muas cukup buduk,negatif
mudah transaksi,netral
bank gede jam lebih maintenance tutup akun,netral
tolong maintance,netral
jam atas susah maw trnsaksi buset,netral
eror transaksi,netral
tidak transfer bli pulsa dri jam set sampi jm ndk bisa aplikasi konyol,netral
ganguan,netral
aplikasi bagus tmpilan oke kini mudah paham lebih bagus ain call service bebas pulsaseperti bank si b*a maintenance bnget,positif
jam tranfer tidak bisa gokil nih bang lo,negatif
eror tidak bisa transfer,negatif
pakai aplikasi bayar qris status transaksi tunda saldo potong tidak beli pulsa telpon itu bisa balik aplikasi kali eror malam tidak telpon saldo potong tidak top gopay tidak hasil saldo potong,positif
harihari malam top ganggu mulu lu ntah baik,positif
malam transfer bisa gilir topup dana vocer google tidak bisa tidak puas,netral
bos gmn sih bikin aplikasi malem offline usaha mandiri tidak bisa aplikasi online jam malem livin offline transaksi tidak bisa transfer tidak bisa tarik tunai tidak bisa aplikasi livin bikin mudah nyusahin orang butuh transaksi malem darurat gmn tolong baik malem offline livin tidak offline transaksi ambil duit tidak bisa aplikasi tidak,netral
tolong baik transaksi salah bayar bayar hasil saldo tidak masuk buruk banget,netral
baik,positif
sih livin tidak bisa transfer kesel banget pdhl saldo jaring bagus,netral
top saldo gopay tidak hasil saldo rekening kurang sesuai nominal top rugi maksud gimna ha,positif
nasabah aktif bank mandiri alam mbanking bank mandiri amansudah aman sistem digital bank mandiri guna saran bank mandiri bank perintah alangkah baik bijaksana hotline call gratis manfaat sangat nasabah bunga bank nasabah sangat gerat call terimakasih,positif
oke,netral
parah jam tidak bisa login eror,negatif
aplikasi ribet sih transaksi malam tidak bisamerepotkan sajangak mmudahkan nasabahnyajangan batas nasabah ber transaksiusahakan jam bisajangan tunggu jam malam tibamerepotkan mandiri,negatif
susah masuk,netral
good,netral
parah x bayar shopee gagal saldo kurang,negatif
mantaab,netral
hallo tidak bisa verifikasi wajah gagal terhububg,negatif
akhirini tidak bisa akses knapa,negatif
mantap kembang baik,positif
aplikasi gangguanbuat kesal,netral
bayar mbaking gagal yah login bayarva ecommerce cari transfer pay udah masuk kode gagal yeh alu ribet livin mandiri beda kaya bca lebih mudah,negatif
ngk bisa login,netral
aplikasi jelek tidak bisa transaksinyusahin bikin malu benerin gajelas banget dah,negatif
aplikasi mandiri baik sistem aman jamin goodjoob,positif
bagus kendala login cabang mandiri verif otp,positif
baik,positif
sangat bantu,netral
bagus sayang paylater muncul,positif
oke,netral
aplikasi jelek jelek aplikasi,negatif
bagus aplikasi,positif
tolong admin kenp perangkat tidak fungsi,netral
bisa bayar tv k vision bisa cek ulang,netral
terima kasih bank mandiri aplikasi bagus keren canggih nasabah setia bank mandiri sukses bank mandiri depan,positif
update min ubah gaada ngelag kasi hpnya jelek,negatif
lancar aman kendali,positif
sangat manfaat,netral
tab nggak bisa login advan sketsa,netral
harap livin bisa memyimpan nomor nama langgan transaksi pembayaranewalet dllsupaya mudah transaksi nyayg riwayathistory nomor langgan namakarena simpan riwayat sangat sulit kenal dn bisa hilang iring transaksi,netral
aplikasi jelek banget ganggu tidak nyaman pakai pepet bayar susah karna banget ganggu tidak recommend banget payah,negatif
aplikasi ganggu mulu hambat bayar parah banget dehh,negatif
oke oke oke oke oke,netral
susah konetpadahal jaring full,netral
hubung tidak bsa cal sebter,netral
tidak bagus jaring jaring ku tiyik g,positif
oke,netral
aplikasi bang payah akun suruh masuk bikin baru kartu tidak kantor mandiri kah gituh tolong gimana,netral
baru mbanking tidak bisa erti udah tau hape tidak kuat update baru banyak baru udah udah kadang jam ubah transfer sama mbanking tidak ribet buat bumn doank ribet update ribet nyaman pakai tidak baru,negatif
erar eror,netral
sangat bagus,positif
cakep,netral
ganggu,netral
sy tidak bisa yaa tulis verifikasi tambah coba kali gtu aneh,negatif
buka aplikasi lambat tampil menu saham mana,negatif
aplikasi jelek reset kartu atm ambil login ulang pakai nomor kartu atm lucu atm bintang cocok,netral
login tidak bisa layan tidak sedia,negatif
bagus,positif
lumayan,netral
kesel banget kej x app tidak dpt biometrik alas aku bla bla bla suruh ganti pin pas masukin pin tidak bisa pakai pin anggap hpnya versi tidak cocok aplikasi pdhl versi sesuai email tidak tanggap aneh jadi wkt ganti hp,netral
non ribed pkkoknya serba mudah pake livin,netral
tidak bisa lougin,negatif
keren nih aplikasinyasimpel pengajuanya mudah proses jalan aplikasinyadan fitur bisa bantu transaksi butuh perban sukses bank mandiri,netral
sangat bagus,positif
good job,netral
tolong gagal verifikasi kode otp tidak proses mohon slalu muncul begtu tidak bisa login,negatif
kali livin cabang update kartu bikin ribet,netral
good,netral
bantu,netral
ribett aplikasi liat nomor rek ntah dmna,netral
mudah,netral
woi aplikasi g ngapdate napa memori penuh ni,netral
succes,netral
aplikasi eror udah tau baru akun login suru isi nomor kartu atm login masukin sandi,netral
udah bulak bank tetep tidak bisa masuk lagipadahal udah ganti cs bank coba coba udah bulan coba tetep tidak bisa masuk,negatif
aktivasi close mulu parah,negatif
customer servis tidak ramah tidak dengar customer mati telfon hubung tidak bisa hubung sudha email kemarin malam balas telfon tidak bisa email tidak balas apa sat saldo tidak kembalisudah cek email tidak balas,negatif
,netral
jos,netral
bagus banget,positif
lumayan device tampil tidak penuh layar hp kek potong layar mohon baik,positif
bagus,positif
tidak bisa teranfer,negatif
sangat bantu,netral
tidak login ajh suruh ulang kali alesannya sandi tidak sandi ganti kali sandi sampe tidak bisa login aplikasi sangat tidak sesal mendownload,negatif
gimana login tidak bisa login akun tidak menu form login,negatif
cs tidak tidak bisa kasi solusi putar jawab asu,negatif
,netral
oke baik,positif
min saran tolong adakan investasi emas bayar zakat,netral
oke,netral
livin bagus,positif
banyak pelihara sistem transaksi ganggu,netral
bank cacat ganggu tidak bisa transfer,negatif
buruk,negatif
tidak bisa transfer tidak bisa tulis tidak bisa transfer coba menit jam,negatif
tidak ganggu malam gabisa apaapa beli token tidak bisa gabisa transaksi,negatif
mbanking kacau tidak tingkat buruk,negatif
kecewa,negatif
,netral
top dana gagal transaksi qr lag gagal anehh,netral
aplikasi aneh login tidak bisa daftar suruh daftar ulang tolol gimana sih nih aplikasi,negatif
buruk banget malem transfer tidak bisa,negatif
lodingnya lamaa banget maintenance tidak email kek pemberitahuan banget nih urgent tidak bisa transaksi kacauu dahh,negatif
abis daftar suruh login ulang,netral
tidak bisa loginsistem operasi tidak dukung tidak,negatif
oke,netral
kadang tidak bisa transfer danapadahal udah coba kali,negatif
tidak bisa kirim dana,negatif
foto selvi tidak bisa,negatif
g bs top dana tulis situ nomor salah nomor,positif
transfer gagal melulu,negatif
mantap,positif
parah banget maintenance,negatif
pelihara system tidak wajar terus tolol,netral
aplikasi sangat buruk tidak bisa,negatif
otp masuk otp sistem pelihara tingkat sistem ganti perangkat apa hadeuh susah banget tolong baik simpel nomer kartu debit otp masuk tidak bisa masuk aplikasi arahin kantor cabang haddeeuuhpayah,netral
buka aplikasi mesti terus update tidak butuh ken hapus karna jengkel,netral
mntp sangat mmbantu,netral
living tidak bisa ganti hp baru kartu data data,negatif
bank mandiri layan tidak bagus tidak ramah aplikasi livin blokir tidak bisa dibagusin bank mandiri aplikasi karyawan tidak bagus,netral
bagus,positif
sangat baik,positif
mudah fasilitas dibutuhkansip mantap,positif
bolak verifikasi selfie gabisa masuk henti aplikasi henti mohon baik,positif
woy gimana sih eror aplikasi bikin jengkel,netral
login susah,netral
livin suruh apdate,netral
saldo rupiah tibatiba mohon baik terima kasih,positif
tidak verifikasi wajah kendala,netral
tidak bisa buka infinix hot,negatif
good,netral
senang,positif
verry good,netral
kartu blokir posisi kartu baru diaktivasi bom udah problematik,netral
woy aplikasi apaa transaksi tidak bisa udah loh chatt email tidak bales telfon tidak bisa buka ngemudahin nyusahin,negatif
orang bisa tarik sampe limit punya limit,netral
bisa aju kartu kredit livin,netral
iki piye update wae sue muter teroas,netral
bagusdan cepat,positif
gila nih bankingdah minggu lebih tidak bsa pakemau transaksi pas slalu katamaav transaksi bsa kanatau halamantindakan sdah laku kandri uninstallog outrestart hpnumpang sinyal wifiyng sial kemarin cabang mandiri lapor terkaittapi tidak jawabanalasan sinyal sinyal trustolong baik,positif
bisa login tidak bisa pelihara pafahal,negatif
tidak bisa login livin kak kendala vermuk gagal,negatif
loading,netral
moga lancar,positif
muas,netral
lawas,netral
sangt tidak saran uang,netral
masuk susah kendala poto ribet suruh kedip kali cape ngedip ttp suruh ngulang masuk akun susah banget,netral
hpku tidak bisa buka close,negatif
bintang bicara,netral
update tidak bisa transaksi tekan tombol pin tidak bisa min alami kendala sprti,negatif
bagus,positif
,netral
aman pool anti curi bobol,netral
pokok bagus bangat da,positif
livin mandiri mantap ragu pake livin mandiri,positif
lot tidak hubung paket intrrnet,netral
aplikasi tidak bisa fungsi hp bekal kali download hapus aplikasi tidak bisa solusi,negatif
saldo tahan tidak pinjam tidak apa saldo tahan,netral
bisa daftar,netral
bayar qris tunda saldo potong udah lapor tanggal maret udah gada lanjut,netral
livin mandiri solusi mudah,netral
mudah,netral
knpa selfi wajah aplikasi livin klaur sndri ulng regtrsi kayak gitu tidak bisa bisa,negatif
aplikasi parah,negatif
kartu debit tidak orang,netral
aplikasi mental tolong baik aplikasi,positif
lelet,netral
mudah cepat akurat,positif
mohon aplikasi livin rincian ksm potong pokok bunga biar,netral
sangat buruk bug transfer gagal potong potong,negatif
aplikasi aneh login tidak bisa sistem ditingkatin gua coba tidak bisa,negatif
jooss terpecaya,netral
cari opsi login aplikasi hp ilang login hp baru engga pake debit lupa debit,netral
livin masuk sendri tidak tu kayak gin,netral
mantap pokok e livin mandiri,positif
transaksi kendala force close transaksi restart baru bisa login jaring stabil,netral
aplikasi livin crashtidak bisa buka inipadahal kali uninstal download ulang aplikasi tidak bisa buka,negatif
tidak bisa login udah,negatif
aplikasi livin sya buka langsung bingung gimana,netral
akun jelek nyusahin orang udah kali verifikasi wajah gagal teruspadahal sya ngikutin step,negatif
kelar bikin atm login mbangking kendala tidak selesai lapor kacab,netral
diupdate aplikasi tuh loadingnya benerduh,netral
kali gagal top e money busuk aplikasi pakai tokped langsung update hahahah superapp bumn gabisa andal,netral
tolong livin yaa akun blokir posisi dalam saldo gimana tolong baik,positif
payah ni aplikasi hp invinix kali erorr tidak bisa buka betulinlah bug krna baik sy kasi bintang,netral
mantap,positif
aplikasi hp tidak bisa buka,negatif
livin mandiri lebih manfaat,netral
bagus ting ajah ngasih vocerr yahh,positif
terima uang tidak masuk iyamasa si ganggu,netral
telepon tunggu pulsa habis ribu bicara customer service layan buruk,negatif
mantap mudah urus uang,positif
n cepat kilat,positif
masalah isi emoney malam tidak bisa top gopaydana potong saldo gopay masuk malam baik sistemjauh beda bank tetangga,positif
top shopee pay kali transaksi gagal saldo rekening potong sesuai top kali saldo shopee pay tidak bertambahbagaimana bisa eror,netral
saldo ku potong investasi uang menu invest tidak tau potong email tidak pemberitahuan,netral
nyusahin,netral
aplikasi livin gimana dah terang transaksi gagal x saldo tetep potong gimana dah,negatif
proses bayar tera gagal kali riwayat saldo tersedotterpotong kali kecewa sistem operasional lambat,negatif
livin mandiri sangst buruk banyakn loading,negatif
sisa saldo nilai akun mobile livin mandiri tidak bisa emang sih minimal saldo sisa dalam akun,negatif
suka eror transfer,positif
livin susah transaksi gagal tidak loadingnya lam bgttransaksi lot tidak bisa ajak kerja,negatif
mandiri,netral
app tidak bisa buka sih eror habis isi duit,negatif
sangat kecewa aplikasi bank mandiri top gopay pulsa sangat lot gagal akibat fatal saldo potong tidak masuk gopay tidak atas tarik uang bank mandiri,negatif
gampang tansaki mana livin mandiri terima kasijh bos ku,netral
transfer susah banget ganggu,netral
transaksi cepataman mudah,netral
baru tidak bisa tranfer jam atas jam malam,negatif
eror bank plat merah kalah bca,netral
bagus,positif
sangat bantu,netral
mantap,positif
aplikasi tidak eror bikin orang kesel gimana orang urgent banget tolong perhati sering eror,netral
sangat sayang trobelnya baik suka,positif
buruk jaring,negatif
,netral
moga manfaat bisa hasil,netral
lupa nomor rekening,netral
daftar livin udah masok,netral
ribet bannget aplikasi initiap malam pemeliharaandikit dikit pemeliharaanorang tranksi jenuh nunggu,netral
sangat mebantu,netral
sangat bantu mudah transaksi bank mandiri,netral
mantap app,positif
bagusnamun sangat sayang pelihara sistemjadi bayar bayar malam tidak pakai aplikasisayang banget tolong baik,positif
aplikasi tolol ganggu,netral
gilir tranfer malam malam pelihara rutin pelihara rutin sih,netral
bagus kasi bintang,positif
aplikasi jalan baik saldo juta bisa tinggal sisa tibatiba pas cek tari dana k biaya kartu debit dll terang situ tanda cek mutasi tidak bisa pakai sandi udah masukin sandi syaa tidak bisa cek mutasi,netral
istimewa,netral
update kalu enga update enga bisa buka si bisa buka tinggal konsumen pilih pilih kosumen,netral
aplikasi bagus anjeng batas jam atas maintenance jdi malu ajg bayar tidak bsa tolong fix,positif
kalok livin bisa nggk pinjam saldo,netral
bagus,positif
say buka tk bisa licin mandiri,netral
engak bisa buka livin mandira bos ku,netral
aplikasi bantu butuh kartu kredit masak gara gara ganti nomer telpon kartu kredit tidak bisa telpon cs tidak langsung bisa tunggu x jam sangat kecewa,negatif
muantep,netral
jamin,netral
mohon maaf atm mandiri tidak bisa daftar udah fass tolong baik kk,netral
livin mandiri sangat manfaat,netral
blga bisa daptar,netral
baik,positif
aman nyaman lebih mudah admin mantap,positif
update livin weh,netral
msndiri sihtiba logut akun masuk kartu ulangpas vrifikasi wajah tidak bisamakin kesini aneh,negatif
udah x masuk susah gagal muat hapus instalan sekrang hapus juha tetep gabisa susah masuk layar utama,negatif
aplikasi nge bagkenapa aplikasi,netral
sangat cepat layan,positif
ganggu parah verifikasi tidak bisa lolo bank,negatif
sulit baik kali salah pin tidak atm bri mandiri lumayan bikin emosi,positif
aplikasi perban tolol,netral
aplikasi nge bug maret aplikasi nge bug rusak nyaman guna tunggu baik hapus pindah layan perban,positif
aplikasi tidak tau login tidak bisa verifikasi verifikasi gagal mohon baik sistem,negatif
bagus,positif
kirim uang ribet tidak antri,netral
aplikasi keren,netral
sangat bantu,netral
lelet,netral
konsep tabung mandiri potong biaya administrasi kartu debit bulan lebih yaa bisa x potong administrasi administrasi,netral
tidak tidak bisa buka,negatif
best,netral
tarik tunai kartu bisa smpai kali batas sperti,netral
berwal fitur tidak sedia uniinstal aplikasi kali kcp dekat suruh instal hasil zonk tidak bisa verifikasi suruh nunggu jam depan cs zonk,negatif
bagus,positif
verifikasi muka gagal aplikasi busuk banget,negatif
oke,netral
baru nyoba appnya bagus verifikasi wajah tidak bisa,netral
ribet bajing verifikasi wajah tidak hasil ulang ah ribet loa ah cukup pk otp verifikasi wajah tidak hasil bisa canggih ken canggih ribbeet,netral
lebaran transaksi tidak bisa susah nasabah,negatif
oke,netral
tidak bisa transfer top mohon bantu,netral
daftar tahap jalan lancar pas verifikasi wajah macet aplikasi ulang bolak tetsp macet aplikasi kelas bank masak kecewa kayak gin lihat rating play store udah rendah sesuai masak diem tidak malu bank lai,netral
hp ilang aplikasi bank baharu baru bank sangat mudah pergi kantor cabang langsung proses mandiri sampe itu cepat aktifin livin nomor beda wkwkw,positif
banget trouble tidak bisa akses terang tahap pelihara produk bumn parah,negatif
buka masuk akun nge crash aplikasi tidak jalan,netral
aplikasi diupdate tidak bisa diinstal,negatif
nice,netral
sangat bantu,netral
topup bayar qris slalu gagaltrus gimana inisudah berbulantapi gaada tangan skaliburuk,negatif
bintang uda ku kasih niat bagus terintergrasi data dindukcapil verivikasi tambhan bs selesai cs kacau mandiri kecewa tidak solusi,netral
baik,positif
sangat bantu mudah transaksi tinggal kampung lumayan bank g kendara,netral
sangat kecewa,negatif
u verifikasi data jgn pakai wajah,netral
baik,positif
tolong baik living mandiri tidak bisa smartphone xiaomi pakai hyperos,netral
susah login pakek sidik jari,netral
luwama pol loadingnya updatenya susah,netral
sistem peripikasi livin mandiri burukmenyusah rugi guna peripikasiwajahselalu gagalpadahal ektp data hp sesuai gagal bayar pesan otp masuk livin mandiri pihakpengirim otp peras guna livin mandiri peripikasi gagal bayar datar livin mandiri sebut juta,negatif
,netral
sangat bantu,netral
oke,netral
saran tidak pake livin lebih baik tarik ajah uang bank bank bumn ampas,positif
,netral
good,netral
tidak beda pinjol ilegal wkwkwkw tagih bayar saldo tahan nyepam telpon tidak selasa selasa wkwkwk,netral
mohon baik aplikasi tidak bisa buka tidak bisa tarik uang udah tahan aplikasi,netral
sangat bantu,netral
oke,netral
yah susah transaksi hubung cs ngk bantu email ngk balesan,netral
update bikin hp lot,netral
marhaban ramadhan,netral
aneh rekening kartu debit rekening tidak milik kartu debit,netral
sangat bantu,netral
hai mandiri aplikasi rusak tuh tidak baik,positif
klik tombol lx,netral
mantap livin mandiri,positif
update aplikasi g bs slalu henti pas persen bilang g bs update aplikasi pdhal internet lancar memori sistem update tlong bntu min,positif
gara gara hp restart login ulang living baik sistem gimana ni solusi dah bisa payah ni ah,positif
aplikasi keren mudah,netral
oke sangat bantu mudah,netral
mantap,positif
mudah transaksi,netral
